description,NCES_School_ID,Street Address,City,State,ZIP,Final,latitude,longitude
ACCAWMACKE ELEMENTARY,510006001737,P.O. Box 389,Accomac,VA,23301,P.O. Box 389 Accomac VA 23301,37.7195741,-75.6654845
ARCADIA HIGH,510006002028,PO Box 69,Oak Hall,VA,23416,PO Box 69 Oak Hall VA 23416,37.9366134,-75.5460774
ARCADIA MIDDLE,,,,,,   ,,
CHINCOTEAGUE ELEMENTARY,510006000006,6078 Hallie Whealton Smith Dr,Chincoteague,VA,23336,6078 Hallie Whealton Smith Dr Chincoteague VA 23336,37.9377851,-75.3567605
CHINCOTEAGUE HIGH,510006000007,4586 Main St,Chincoteague,VA,23336,4586 Main St Chincoteague VA 23336,37.9427316,-75.3638994
KEGOTANK ELEMENTARY,510006000009,PO Box 28,Mappsville,VA,23407,PO Box 28 Mappsville VA 23407,37.8452959,-75.5672429
METOMPKIN ELEMENTARY,510006001738,24501 Parksley Rd,Parksley,VA,23421,24501 Parksley Rd Parksley VA 23421,37.7800069,-75.645357
NANDUA HIGH,510006002003,26350 Lankford Highway,Onley,VA,23418,26350 Lankford Highway Onley VA 23418,37.6789392,-75.7257009
NANDUA MIDDLE,510006002433,20330 Warrior Dr.,Onley,VA,23418,20330 Warrior Dr. Onley VA 23418,37.6812951,-75.7257812
PUNGOTEAGUE ELEMENTARY,510006000012,28480 Bobtown Rd,Melfa,VA,23410,28480 Bobtown Rd Melfa VA 23410,37.6527808,-75.7932293
TANGIER COMBINED,510006000014,PO Box 245,Tangier,VA,23440,PO Box 245 Tangier VA 23440,37.8262373,-75.9916035
ARCADIA MIDDLE,510006002434,P. O. Box 220,Oak Hall,VA,23416,P. O. Box 220 Oak Hall VA 23416,37.9366134,-75.5460774
BADGER VOCATIONAL EDUCATION CENTER - NORTH,510006001988,PO Box 69,Oak Hall,VA,23416,PO Box 69 Oak Hall VA 23416,37.9366134,-75.5460774
BADGER VOCATIONAL EDUCATION CENTER - SOUTH,510006002004,P.O. Box 302,Onley,VA,23418,P.O. Box 302 Onley VA 23418,37.6909641,-75.7160405
AGNOR-HURT ELEMENTARY,510009000002,3201 Berkmar Drive,Charlottesville,VA,22901,3201 Berkmar Drive Charlottesville VA 22901,38.0895784,-78.4770225
ALBEMARLE HIGH,510009000015,2775 Hydraulic Road,Charlottesville,VA,22901,2775 Hydraulic Road Charlottesville VA 22901,38.0754627,-78.5014875
BAKER-BUTLER ELEM,510009001937,2740 Proffit Road,Charlottesville,VA,22911,2740 Proffit Road Charlottesville VA 22911,38.1232481,-78.4205765
BROADUS WOOD ELEMENTARY,510009000017,185 Buck Mountain Road,Earlysville,VA,22936,185 Buck Mountain Road Earlysville VA 22936,38.1623126,-78.4899342
BROWNSVILLE ELEMENTARY,510009000018,5870 Rockfish Gap Turnpike,Crozet,VA,22932,5870 Rockfish Gap Turnpike Crozet VA 22932,38.0521243,-78.7027108
COMMUNITY LAB SCHOOL,510009000030,1200 Forest Street,Charlottesville,VA,22903,1200 Forest Street Charlottesville VA 22903,38.0407261,-78.482527
CROZET ELEMENTARY,510009000020,1407 Crozet Avenue,Crozet,VA,22932,1407 Crozet Avenue Crozet VA 22932,38.07465,-78.6972618
HOLLYMEAD ELEMENTARY,510009000022,2775 Powell Creek Drive,Charlottesville,VA,22911,2775 Powell Creek Drive Charlottesville VA 22911,38.112628,-78.4391352
IVY ELEMENTARY,,,,,,   ,,
JACKSON P. BURLEY MIDDLE,510009000024,901 Rose Hill Drive,Charlottesville,VA,22903,901 Rose Hill Drive Charlottesville VA 22903,38.0399469,-78.486649
JOSEPH T. HENLEY MIDDLE,510009000025,5880 Rockfish Gap Turnpike,Crozet,VA,22932,5880 Rockfish Gap Turnpike Crozet VA 22932,38.0523261,-78.7056346
JOURNEY MIDDLE,510009000023,210 Lambs Lane,Charlottesville,VA,22901,210 Lambs Lane Charlottesville VA 22901,38.0769164,-78.5066249
LAKESIDE MIDDLE,510009000751,2801 Powell Creek Drive,Charlottesville,VA,22911,2801 Powell Creek Drive Charlottesville VA 22911,38.1124889,-78.4369144
LESLIE H. WALTON MIDDLE,510009000026,4217 Red Hill Rd,Charlottesville,VA,22903,4217 Red Hill Rd Charlottesville VA 22903,37.921355,-78.550912
