Division,School,Number_of_Students_Missing_10%_or_More_of_the_Days_Enrolled,Number_of_Students_Enrolled_for_Half_the_Year_or_More,Chronic_Absenteeism_Rate,Dropouts,Students_in_the_Cohort,Cohort_Dropout_Rate,Diplomas,GEDs,Certificates_of_Completion,Still_Enrolled,Graduation_Completion_Index,End_of_Year_Average_Daily_Membership,School_Level_Expenditures_Per_Pupil_Federal,School_Level_Expenditures_Per_Pupil_State,School_Level_Expenditures_Per_Pupil_Subtotal,Division_Level_Expenditures_Per_Pupil_Federal,Division_Level_Expenditures_Per_Pupil_State,Division_Level_Expenditures_Per_Pupil_Subtotal,Total_Per_Pupil_Expenditures,Per_Pupil_Exclusions,Total_Expenditures,Per_Pupil_Federal_Funds,Per_Pupil_State_Funds,Poverty_Level,Percent_of_Inexperienced_Teachers,Percent_of_Out_of_Field_Teachers,Percent_of_Out_of_Field_and_Inexperienced_Teachers,NCES_School_ID,State_School_ID,NCES_District_ID,State_District_ID,Low_Grade*,High_Grade*,County_Name*,Street_Address,City,State,ZIP,Final_Location_,Latitude,Longitude,ZIP_4_digit,Phone,Locale_Code*,Locale*,Charter,Magnet*,Title_I_School*,Title_1_School_Wide*,Students*,Teachers*,Student_Teacher_Ratio*,Free_Lunch*,Reduced_Lunch*,Directly_Certified*,Type,Status,county,CENSUSTRACT_FIPS,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding,CensusTract_population
Accomack County Public Schools,ACCAWMACKE ELEMENTARY,79.0,373.0,21.18,,,,,,,,,402.69,1229.0,8199.0,9429.0,588.0,3206.0,3794.0,13223.0,365680.0,5324712.0,1817.0,11405.0,High Poverty,2.6,2.6,0.0,510006001737,VA-001-0010701,5100060,VA-001,PK,5,Accomack County,P.O. Box 389,Accomac,VA,23301,Accomack County P.O. Box 389 Accomac VA 23301,37.7195741,-75.6654845,,(757)787-8013,43,Rural: Remote,No,No,Yes,Yes,408,25.17,16.21,405,0,–,Regular,Open,accomack county,51001,67.125,72.0,55.875,77.75,72.125,52.5,29.75,43.5,0.4951042015,0.1336804018,0.09376697317,0.128594225,0.03297466233,0.066578595,0.2157780617,0.008626369075,32742
Accomack County Public Schools,ARCADIA HIGH,121.0,698.0,17.34,7,178,3.93,149,2,0,4,83.3,676.58,405.0,7048.0,7453.0,588.0,3206.0,3794.0,11247.0,552100.0,7609411.0,993.0,10254.0,High Poverty,18.0,18.0,6.0,510006002028,VA-001-0010540,5100060,VA-001,9,12,Accomack County,PO Box 69,Oak Hall,VA,23416,Accomack County PO Box 69 Oak Hall VA 23416,37.9366134,-75.5460774,69.0,(757)824-5613,42,Rural: Distant,No,No,No,†,687,41.62,16.51,648,0,–,Regular,Open,accomack county,51001,67.125,72.0,55.875,77.75,72.125,52.5,29.75,43.5,0.4951042015,0.1336804018,0.09376697317,0.128594225,0.03297466233,0.066578595,0.2157780617,0.008626369075,32742
Accomack County Public Schools,CHINCOTEAGUE ELEMENTARY,61.0,207.0,29.47,,,,,,,,,228.47,564.0,9201.0,9765.0,588.0,3206.0,3794.0,13559.0,224802.0,3097765.0,1152.0,12407.0,High Poverty,5.6,5.6,5.6,510006000006,VA-001-0010080,5100060,VA-001,PK,5,Accomack County,6078 Hallie Whealton Smith Dr,Chincoteague,VA,23336,Accomack County 6078 Hallie Whealton Smith Dr Chincoteague VA 23336,37.9377851,-75.3567605,,(757)336-5545,43,Rural: Remote,No,No,No,†,226,14.44,15.65,222,0,–,Regular,Open,accomack county,51001,67.125,72.0,55.875,77.75,72.125,52.5,29.75,43.5,0.4951042015,0.1336804018,0.09376697317,0.128594225,0.03297466233,0.066578595,0.2157780617,0.008626369075,32742
Accomack County Public Schools,CHINCOTEAGUE HIGH,75.0,289.0,25.95,2,36,5.56,33,0,0,0,91.7,266.56,480.0,9685.0,10164.0,588.0,3206.0,3794.0,13958.0,256859.0,3720706.0,1068.0,12891.0,High Poverty,7.4,14.8,3.7,510006000007,VA-001-0010580,5100060,VA-001,6,12,Accomack County,4586 Main St,Chincoteague,VA,23336,Accomack County 4586 Main St Chincoteague VA 23336,37.9427316,-75.3638994,,(757)336-6166,43,Rural: Remote,No,No,No,†,266,24,11.08,258,0,–,Regular,Open,accomack county,51001,67.125,72.0,55.875,77.75,72.125,52.5,29.75,43.5,0.4951042015,0.1336804018,0.09376697317,0.128594225,0.03297466233,0.066578595,0.2157780617,0.008626369075,32742
Accomack County Public Schools,KEGOTANK ELEMENTARY,129.0,442.0,29.19,,,,,,,,,488.22,1425.0,8261.0,9685.0,588.0,3206.0,3794.0,13479.0,374376.0,6580787.0,2013.0,11467.0,High Poverty,17.1,8.6,8.6,510006000009,VA-001-0010600,5100060,VA-001,PK,5,Accomack County,PO Box 28,Mappsville,VA,23407,Accomack County PO Box 28 Mappsville VA 23407,37.8452959,-75.5672429,,(757)824-4756,43,Rural: Remote,No,No,Yes,Yes,475,25.33,18.75,472,0,–,Regular,Open,accomack county,51001,67.125,72.0,55.875,77.75,72.125,52.5,29.75,43.5,0.4951042015,0.1336804018,0.09376697317,0.128594225,0.03297466233,0.066578595,0.2157780617,0.008626369075,32742
Accomack County Public Schools,METOMPKIN ELEMENTARY,72.0,513.0,14.04,,,,,,,,,563.44,1193.0,7297.0,8490.0,588.0,3206.0,3794.0,12284.0,313494.0,6921096.0,1781.0,10503.0,High Poverty,14.6,4.9,2.4,510006001738,VA-001-0010702,5100060,VA-001,PK,5,Accomack County,24501 Parksley Rd,Parksley,VA,23421,Accomack County 24501 Parksley Rd Parksley VA 23421,37.7800069,-75.645357,,(757)665-1299,43,Rural: Remote,No,No,Yes,Yes,558,32.33,17.26,555,0,–,Regular,Open,accomack county,51001,67.125,72.0,55.875,77.75,72.125,52.5,29.75,43.5,0.4951042015,0.1336804018,0.09376697317,0.128594225,0.03297466233,0.066578595,0.2157780617,0.008626369075,32742
Accomack County Public Schools,NANDUA HIGH,102.0,632.0,16.14,11,157,7.01,147,0,0,1,91.2,641.32,425.0,8097.0,8523.0,588.0,3206.0,3794.0,12317.0,310591.0,7898977.0,1013.0,11303.0,High Poverty,7.8,13.7,5.9,510006002003,VA-001-0010070,5100060,VA-001,9,12,Accomack County,26350 Lankford Highway,Onley,VA,23418,Accomack County 26350 Lankford Highway Onley VA 23418,37.6789392,-75.7257009,,(757)787-4514,43,Rural: Remote,No,No,No,†,651,44.28,14.7,618,0,–,Regular,Open,accomack county,51001,67.125,72.0,55.875,77.75,72.125,52.5,29.75,43.5,0.4951042015,0.1336804018,0.09376697317,0.128594225,0.03297466233,0.066578595,0.2157780617,0.008626369075,32742
Accomack County Public Schools,NANDUA MIDDLE,60.0,467.0,12.85,,,,,,,,,443.61,1196.0,9036.0,10232.0,588.0,3206.0,3794.0,14026.0,339825.0,6222220.0,1784.0,12242.0,High Poverty,7.7,10.3,5.1,510006002433,VA-001-0010703,5100060,VA-001,6,8,Accomack County,20330 Warrior Dr.,Onley,VA,23418,Accomack County 20330 Warrior Dr. Onley VA 23418,37.6812951,-75.7257812,,(757)787-7037,43,Rural: Remote,No,No,Yes,Yes,455,33.67,13.51,452,0,–,Regular,Open,accomack county,51001,67.125,72.0,55.875,77.75,72.125,52.5,29.75,43.5,0.4951042015,0.1336804018,0.09376697317,0.128594225,0.03297466233,0.066578595,0.2157780617,0.008626369075,32742
Accomack County Public Schools,PUNGOTEAGUE ELEMENTARY,96.0,410.0,23.41,,,,,,,,,429.37,1307.0,7536.0,8844.0,588.0,3206.0,3794.0,12638.0,280813.0,5426243.0,1895.0,10742.0,High Poverty,3.2,3.2,0.0,510006000012,VA-001-0010590,5100060,VA-001,PK,5,Accomack County,28480 Bobtown Rd,Melfa,VA,23410,Accomack County 28480 Bobtown Rd Melfa VA 23410,37.6527808,-75.7932293,,(757)787-4032,43,Rural: Remote,No,No,Yes,Yes,436,24.33,17.92,433,0,–,Regular,Open,accomack county,51001,67.125,72.0,55.875,77.75,72.125,52.5,29.75,43.5,0.4951042015,0.1336804018,0.09376697317,0.128594225,0.03297466233,0.066578595,0.2157780617,0.008626369075,32742
Accomack County Public Schools,TANGIER COMBINED,3.0,44.0,6.82,<,<,<,<,<,<,<,<,45.71,1193.0,18366.0,19559.0,588.0,3206.0,3794.0,23353.0,106748.0,1067465.0,1781.0,21572.0,High Poverty,0.0,0.0,0.0,510006000014,VA-001-0010530,5100060,VA-001,KG,12,Accomack County,PO Box 245,Tangier,VA,23440,Accomack County PO Box 245 Tangier VA 23440,37.8262373,-75.9916035,,(757)891-2315,43,Rural: Remote,No,No,No,†,42,6,7,39,0,–,Regular,Open,accomack county,51001,67.125,72.0,55.875,77.75,72.125,52.5,29.75,43.5,0.4951042015,0.1336804018,0.09376697317,0.128594225,0.03297466233,0.066578595,0.2157780617,0.008626369075,32742
